Index,teamA,TeamName_x,scoreA,teamB,TeamName_y,scoreB,winner,location,fgm_diff,fga_diff,fgm3_diff,fga3_diff,ftm_diff,fta_diff,or_diff,dr_diff,ast_diff,to_diff,stl_diff,blk_diff,pf_diff,tempo_diff,oe_de_diff,de_oe_diff
0,1102,Air Force,79,1119,Army,68,A,N,-3.83,-6.21,-0.39,-0.59,0.09,0.35,-2.56,0.86,-0.71,0.46,-0.64,-1.27,0.59,-3.0444,-11.9743,1.0218
1,1110,American,84,1119,Army,74,A,B,-2.87,-11.47,-1.19,-5.71,-1.67,-2.65,-4.14,0.94,1.03,0.97,0.1,-0.79,-1.08,-7.4701,-6.9626,-7.2879
2,1259,Loyola MD,71,1119,Army,77,B,A,-3.66,-3.69,-2.7,-7.3,1.97,3.82,-0.48,-1.76,-3,-0.9,2.1,-0.06,1.04,-2.7982,-13.1776,3.9703
3,1250,Lehigh,51,1119,Army,70,B,B,-2.21,-3.15,-1.31,-4.96,-0.51,-0.96,-2.52,2.59,-1.1,-1.03,-0.96,-0.73,-0.42,-2.6822,-12.5917,-0.521
4,1353,Rutgers,75,1119,Army,72,A,A,-1.46,0.19,-1.65,-4.46,1.77,2.38,0.76,0.88,-1.76,-0.44,-0.15,0.15,2.23,0.7009,-4.3893,1.9111
5,1383,St. Francis NY,54,1119,Army,67,B,B,-1.61,-1.38,-1.53,-3.24,0.74,1.55,0.63,3.03,-1.97,0.1,-0.28,1.16,1.64,-1.3816,-11.3419,-2.773
6,1223,Houston Baptist,74,1119,Army,72,A,B,-2.8,-2.89,-2.67,-7.85,1.56,2.86,-0.1,2.03,-2.17,2.69,-1.07,-2.13,3.18,1.4758,-18.0555,7.3746
7,1298,Navy,55,1119,Army,60,B,A,-4.52,-4.13,-0.87,-2.09,-3.23,-3.07,-0.51,-0.03,-1.86,-0.31,0.52,-1.02,0.73,-5.6707,-15.9779,1.4535
8,1298,Navy,79,1119,Army,57,A,B,-4.52,-4.13,-0.87,-2.09,-3.23,-3.07,-0.51,-0.03,-1.86,-0.31,0.52,-1.02,0.73,-5.6707,-15.9779,1.4535
9,1248,Lafayette,66,1119,Army,85,B,A,-0.77,-4.36,-0.2,-3.83,0.3,-1.03,-2.84,-0.53,-1.3,-0.5,-0.76,-2.13,-0.5,-2.5568,0.326,10.4643
10,1248,Lafayette,84,1119,Army,87,B,B,-0.77,-4.36,-0.2,-3.83,0.3,-1.03,-2.84,-0.53,-1.3,-0.5,-0.76,-2.13,-0.5,-2.5568,0.326,10.4643
