,round,teamA,TeamName_x,scoreA,teamB,TeamName_y,scoreB,winner,fgm_diff,fga_diff,fgm3_diff,fga3_diff,ftm_diff,fta_diff,or_diff,dr_diff,ast_diff,to_diff,stl_diff,blk_diff,pf_diff,tempo_diff,oe_de_diff,de_oe_diff
0,Championship,1246.0,Kentucky,54,1163.0,Connecticut,60,B,0.8000000000000007,1.4099999999999966,-2.0300000000000002,-2.7299999999999986,4.499999999999998,9.0,4.5600000000000005,1.2100000000000009,-1.0899999999999999,0.5300000000000011,-2.21,0.03000000000000025,0.7399999999999984,0.9024000000000001,22.061300000000003,-13.174700000000001
1,Elite Eight,1277.0,Michigan State,54,1163.0,Connecticut,60,B,2.8800000000000026,3.059999999999995,0.9400000000000004,2.210000000000001,-2.620000000000001,-1.7399999999999984,0.9700000000000006,0.7100000000000009,4.41,-0.2400000000000002,-0.02999999999999936,-1.3899999999999997,0.6199999999999974,0.14409999999999457,24.383200000000002,-12.965900000000005
2,Sweet Sixteen,1235.0,Iowa State,76,1163.0,Connecticut,81,B,4.890000000000001,7.710000000000001,1.1800000000000006,5.290000000000003,0.0600000000000005,2.09,0.120000000000001,3.289999999999999,5.960000000000001,-1.129999999999999,-0.9399999999999995,-3.27,-0.8399999999999999,6.0301000000000045,23.04039999999999,-11.661500000000004
3,Round of 64,1386.0,Saint Joseph's,81,1163.0,Connecticut,89,B,0.26000000000000156,-1.8000000000000043,0.2400000000000002,0.9800000000000004,-1.33,1.8200000000000003,-0.4800000000000004,1.0100000000000016,1.4700000000000006,0.6500000000000004,-2.4899999999999993,-1.5999999999999996,-2.4400000000000013,0.1851000000000056,17.44149999999999,-11.341300000000004
4,Final Four,1246.0,Kentucky,74,1458.0,Wisconsin,73,A,0.9699999999999989,2.9099999999999966,-2.67,-5.139999999999999,3.1099999999999994,6.670000000000002,5.860000000000001,2.1099999999999994,-0.6199999999999992,4.15,-0.2400000000000002,2.72,4.0600000000000005,3.005200000000002,16.265200000000007,-23.154399999999995
5,Sweet Sixteen,1124.0,Baylor,52,1458.0,Wisconsin,69,B,0.7899999999999991,2.9099999999999966,-0.3700000000000001,-1.5500000000000007,-0.9699999999999989,1.0300000000000011,5.390000000000001,-0.33000000000000185,2.4000000000000004,3.7299999999999986,0.08999999999999986,2.15,2.610000000000001,0.08270000000000266,19.891400000000004,-17.4349
6,Round of 32,1332.0,Oregon,77,1458.0,Wisconsin,85,B,3.1999999999999993,5.68,0.020000000000000462,-0.9499999999999993,1.8900000000000006,1.8000000000000007,1.9900000000000002,-0.8900000000000006,2.3200000000000003,3.5999999999999996,2.9400000000000004,-0.14000000000000012,6.3100000000000005,6.172700000000006,18.445099999999996,-18.896900000000002
7,Round of 32,1246.0,Kentucky,78,1455.0,Wichita State,76,A,0.4499999999999993,1.6999999999999957,-1.7599999999999998,-4.08,1.8299999999999983,4.420000000000002,2.7699999999999996,-0.23000000000000043,-1.8599999999999994,1.7600000000000016,-2.09,1.12,2.09,2.3329999999999984,22.252800000000008,-21.429900000000004
8,Final Four,1163.0,Connecticut,63,1196.0,Florida,53,A,0.0,1.6200000000000045,0.27000000000000046,-0.240000000000002,0.8500000000000014,-1.879999999999999,-1.5899999999999999,1.2899999999999991,-0.7599999999999998,0.35999999999999943,-0.2400000000000002,3.36,2.0500000000000007,2.853499999999997,19.483500000000006,-22.871499999999997
9,Round of 32,1338.0,Pittsburgh,45,1196.0,Florida,61,B,0.4700000000000024,1.1200000000000045,-1.6999999999999993,-4.1800000000000015,2.5000000000000018,1.9100000000000001,0.47000000000000064,-0.05999999999999872,2.2699999999999996,-0.7599999999999998,-0.20999999999999996,0.1499999999999999,1.2899999999999991,-0.16750000000000398,25.0967,-19.297799999999995
