,season,daynum,teamA,scoreA,teamB,scoreB,wloc,numot,winner,loser,location
129204,2014,4,1102,79,1119,68,N,0,A,B,N
129205,2014,4,1157,63,1103,72,H,0,B,A,B
129206,2014,4,1373,62,1107,74,A,0,B,A,A
129207,2014,4,1112,73,1142,62,H,0,A,B,A
129208,2014,4,1113,96,1420,61,H,0,A,B,A
129209,2014,4,1116,99,1188,65,H,0,A,B,A
129210,2014,4,1120,76,1311,54,H,0,A,B,A
129211,2014,4,1160,60,1124,72,N,0,B,A,N
129212,2014,4,1125,87,1252,83,A,0,A,B,B
129213,2014,4,1129,116,1426,87,H,0,A,B,A
129214,2014,4,1133,72,1240,65,H,0,A,B,A
129215,2014,4,1140,81,1451,72,H,0,A,B,A
129216,2014,4,1143,83,1164,64,H,0,A,B,A
129217,2014,4,1150,80,1190,75,H,0,A,B,A
129218,2014,4,1153,74,1300,61,H,0,A,B,A
129219,2014,4,1155,71,1391,51,H,0,A,B,A
129220,2014,4,1268,77,1163,78,N,0,B,A,N
129221,2014,4,1166,107,1108,61,H,0,A,B,A
129222,2014,4,1172,77,1181,111,H,0,B,A,B
129223,2014,4,1198,61,1184,83,N,0,B,A,N
129224,2014,4,1196,77,1316,69,H,0,A,B,A
129225,2014,4,1199,91,1239,67,H,0,A,B,A
129226,2014,4,1384,67,1200,87,H,0,B,A,B
129227,2014,4,1414,97,1201,98,A,1,B,A,A
129228,2014,4,1203,76,1347,54,H,0,A,B,A
129229,2014,4,1110,60,1206,63,H,0,B,A,B
129230,2014,4,1208,72,1459,52,H,0,A,B,A
129231,2014,4,1342,57,1210,88,H,0,B,A,B
129232,2014,4,1456,69,1214,77,H,0,B,A,B
129233,2014,4,1218,85,1398,55,H,0,A,B,A
129234,2014,4,1222,76,1402,70,H,0,A,B,A
129235,2014,4,1228,80,1106,63,H,0,A,B,A
129236,2014,4,1152,72,1231,100,H,0,B,A,B
129237,2014,4,1234,82,1423,39,H,0,A,B,A
129238,2014,4,1419,63,1242,80,H,0,B,A,B
129239,2014,4,1421,57,1246,89,H,0,B,A,B
129240,2014,4,1258,78,1213,75,N,0,A,B,N
129241,2014,4,1259,79,1127,74,A,0,A,B,B
129242,2014,4,1454,72,1260,76,H,0,B,A,B
129243,2014,4,1380,56,1266,63,H,0,B,A,B
129244,2014,4,1267,85,1354,69,H,0,A,B,A
129245,2014,4,1262,42,1276,69,H,0,B,A,B
129246,2014,4,1277,98,1270,56,H,0,A,B,A
129247,2014,4,1250,62,1278,81,H,0,B,A,B
129248,2014,4,1279,69,1407,54,H,0,A,B,A
129249,2014,4,1341,56,1280,71,H,0,B,A,B
129250,2014,4,1281,89,1368,53,H,0,A,B,A
129251,2014,4,1330,67,1283,79,A,1,B,A,A
129252,2014,4,1220,84,1284,88,A,0,B,A,A
129253,2014,4,1294,60,1243,58,A,0,A,B,B
129254,2014,4,1111,77,1301,98,H,0,B,A,B
129255,2014,4,1303,68,1296,66,A,0,A,B,B
129256,2014,4,1195,55,1304,79,H,0,B,A,B
129257,2014,4,1324,61,1314,84,H,0,B,A,B
129258,2014,4,1275,62,1323,74,H,0,B,A,B
129259,2014,4,1328,82,1104,73,N,0,A,B,N
129260,2014,4,1290,62,1329,117,H,0,B,A,B
129261,2014,4,1332,82,1207,75,N,0,A,B,N
129262,2014,4,1334,80,1305,78,A,0,A,B,B
129263,2014,4,1338,88,1366,55,H,0,A,B,A
129264,2014,4,1413,83,1339,100,H,0,B,A,B
129265,2014,4,1130,78,1344,82,H,1,B,A,B
129266,2014,4,1297,76,1345,77,H,0,B,A,B
129267,2014,4,1263,77,1348,97,H,0,B,A,B
129268,2014,4,1350,71,1174,69,H,0,A,B,A
129269,2014,4,1353,92,1197,84,H,0,A,B,A
129270,2014,4,1358,77,1410,73,A,0,A,B,B
129271,2014,4,1355,70,1360,74,H,0,B,A,B
129272,2014,4,1415,41,1361,77,H,0,B,A,B
129273,2014,4,1395,61,1374,69,N,0,B,A,N
129274,2014,4,1178,58,1375,74,H,0,B,A,B
129275,2014,4,1238,51,1379,67,H,0,B,A,B
129276,2014,4,1383,66,1274,62,A,1,A,B,B
129277,2014,4,1369,64,1387,87,H,0,B,A,B
129278,2014,4,1256,70,1388,83,H,0,B,A,B
129279,2014,4,1390,72,1137,68,H,0,A,B,A
129280,2014,4,1392,71,1265,55,H,0,A,B,A
129281,2014,4,1165,60,1393,82,H,0,B,A,B
129282,2014,4,1400,76,1273,73,H,0,A,B,A
129283,2014,4,1401,82,1138,58,H,0,A,B,A
129284,2014,4,1223,61,1403,76,H,0,B,A,B
129285,2014,4,1298,45,1406,72,H,0,B,A,B
129286,2014,4,1408,75,1312,64,H,0,A,B,A
129287,2014,4,1313,83,1411,95,H,0,B,A,B
129288,2014,4,1417,72,1180,67,H,0,A,B,A
129289,2014,4,1422,82,1219,74,H,0,A,B,A
129290,2014,4,1340,48,1424,67,H,0,B,A,B
129291,2014,4,1425,65,1429,78,H,0,B,A,B
129292,2014,4,1237,66,1430,74,H,0,B,A,B
129293,2014,4,1433,96,1229,58,H,0,A,B,A
129294,2014,4,1434,77,1293,74,H,0,A,B,A
129295,2014,4,1248,59,1437,75,H,0,B,A,B
129296,2014,4,1241,41,1438,61,H,0,B,A,B
129297,2014,4,1154,71,1440,82,H,0,B,A,B
129298,2014,4,1308,64,1444,70,N,0,B,A,N
129299,2014,4,1159,78,1448,89,H,0,B,A,B
129300,2014,4,1167,56,1450,62,H,0,B,A,B
129301,2014,4,1452,77,1291,62,H,0,A,B,A
129302,2014,4,1385,75,1458,86,N,0,B,A,N
129303,2014,4,1404,60,1461,78,H,0,B,A,B
129304,2014,4,1205,59,1462,83,H,0,B,A,B
129305,2014,4,1244,57,1464,73,A,0,B,A,A
129306,2014,5,1154,69,1119,84,N,0,B,A,N
129307,2014,5,1249,58,1139,89,H,0,B,A,B
129308,2014,5,1233,69,1156,73,H,0,B,A,B
129309,2014,5,1271,54,1162,73,H,0,B,A,B
129310,2014,5,1286,55,1168,84,A,0,B,A,A
129311,2014,5,1173,81,1236,80,H,0,A,B,A
129312,2014,5,1177,96,1212,58,H,0,A,B,A
129313,2014,5,1227,59,1179,61,A,0,B,A,A
129314,2014,5,1101,75,1182,94,H,0,B,A,B
129315,2014,5,1184,68,1244,60,A,0,A,B,B
129316,2014,5,1357,54,1193,67,H,0,B,A,B
129317,2014,5,1136,76,1211,100,H,0,B,A,B
129318,2014,5,1444,68,1218,78,H,0,B,A,B
129319,2014,5,1225,67,1442,63,H,0,A,B,A
129320,2014,5,1232,82,1123,73,H,0,A,B,A
129321,2014,5,1254,87,1389,80,N,0,A,B,N
129322,2014,5,1158,48,1257,70,H,0,B,A,B
129323,2014,5,1258,98,1355,89,N,0,A,B,N
129324,2014,5,1247,90,1264,99,A,2,B,A,A
129325,2014,5,1105,52,1307,88,H,0,B,A,B
129326,2014,5,1398,55,1308,70,N,0,B,A,N
129327,2014,5,1319,74,1427,63,A,0,A,B,B
129328,2014,5,1183,55,1321,72,H,0,B,A,B
129329,2014,5,1325,75,1320,64,H,0,A,B,A
129330,2014,5,1326,89,1288,50,H,0,A,B,A
129331,2014,5,1336,74,1447,62,H,0,A,B,A
129332,2014,5,1346,82,1216,77,N,0,A,B,N
129333,2014,5,1366,66,1352,86,H,0,B,A,B
129334,2014,5,1360,70,1213,59,H,0,A,B,A
129335,2014,5,1439,63,1367,64,A,0,B,A,A
129336,2014,5,1310,72,1371,83,H,0,B,A,B
129337,2014,5,1376,82,1255,44,H,0,A,B,A
129338,2014,5,1399,62,1378,72,H,0,B,A,B
129339,2014,5,1377,46,1382,68,H,0,B,A,B
129340,2014,5,1436,64,1386,74,A,0,B,A,A
129341,2014,5,1396,78,1335,73,A,0,A,B,B
129342,2014,5,1440,71,1102,63,H,0,A,B,A
129343,2014,5,1463,93,1148,77,N,0,A,B,N
129344,2014,5,1198,72,1464,74,N,1,B,A,N
129345,2014,6,1131,72,1318,69,N,0,A,B,N
129346,2014,6,1106,59,1133,85,H,0,B,A,B
129347,2014,6,1127,57,1135,74,H,0,B,A,B
129348,2014,6,1174,93,1149,95,A,0,B,A,A
129349,2014,6,1160,91,1404,65,H,0,A,B,A
129350,2014,6,1164,78,1333,73,A,0,A,B,B
129351,2014,6,1189,75,1265,48,A,0,A,B,B
129352,2014,6,1198,66,1244,58,A,0,A,B,B
129353,2014,6,1221,72,1217,82,N,0,B,A,N
129354,2014,6,1220,80,1192,58,H,0,A,B,A
129355,2014,6,1228,86,1240,62,H,0,A,B,A
129356,2014,6,1303,75,1234,83,H,0,B,A,B
129357,2014,6,1235,95,1423,62,H,0,A,B,A
129358,2014,6,1246,93,1297,63,H,0,A,B,A
129359,2014,6,1165,89,1259,93,A,1,B,A,A
129360,2014,6,1269,86,1130,73,N,0,A,B,N
129361,2014,6,1380,75,1292,78,H,0,B,A,B
129362,2014,6,1391,49,1323,80,H,0,B,A,B
129363,2014,6,1409,68,1331,74,A,0,B,A,A
129364,2014,6,1197,50,1343,67,H,0,B,A,B
129365,2014,6,1370,78,1449,88,H,0,B,A,B
129366,2014,6,1464,75,1184,67,N,0,A,B,N
129367,2014,7,1253,57,1112,91,H,0,B,A,B
129368,2014,7,1238,61,1117,65,A,0,B,A,A
129369,2014,7,1140,112,1390,103,A,0,A,B,B
129370,2014,7,1377,66,1145,71,H,0,B,A,B
129371,2014,7,1163,80,1463,62,H,0,A,B,A
129372,2014,7,1282,70,1166,96,H,0,B,A,B
129373,2014,7,1210,68,1175,50,H,0,A,B,A
129374,2014,7,1161,61,1211,93,H,0,B,A,B
129375,2014,7,1222,77,1410,65,A,0,A,B,B
129376,2014,7,1396,77,1245,81,A,0,B,A,A
129377,2014,7,1204,80,1274,81,H,1,B,A,B
129378,2014,7,1218,88,1308,95,A,0,B,A,A
129379,2014,7,1114,70,1316,72,A,0,B,A,A
129380,2014,7,1317,82,1328,95,H,0,B,A,B
129381,2014,7,1347,89,1151,78,H,0,A,B,A
129382,2014,7,1125,61,1350,69,H,0,B,A,B
129383,2014,7,1374,89,1348,58,H,0,A,B,A
129384,2014,7,1101,47,1382,75,H,0,B,A,B
129385,2014,7,1383,59,1194,57,A,0,A,B,B
129386,2014,7,1298,57,1384,60,H,0,B,A,B
129387,2014,7,1388,85,1103,63,H,0,A,B,A
129388,2014,7,1290,67,1401,91,H,0,B,A,B
129389,2014,7,1319,68,1403,88,H,0,B,A,B
129390,2014,7,1353,76,1412,79,H,0,B,A,B
129391,2014,7,1430,78,1299,71,H,0,A,B,A
129392,2014,7,1441,74,1421,67,H,0,A,B,A
129393,2014,7,1398,52,1444,63,N,0,B,A,N
129394,2014,7,1454,81,1172,77,A,0,A,B,B
129395,2014,7,1443,49,1455,66,H,0,B,A,B
129396,2014,8,1312,65,1107,71,H,0,B,A,B
129397,2014,8,1113,90,1275,54,H,0,A,B,A
129398,2014,8,1124,66,1376,64,H,0,A,B,A
129399,2014,8,1141,70,1133,80,H,0,B,A,B
129400,2014,8,1143,77,1176,50,H,0,A,B,A
129401,2014,8,1111,66,1144,73,A,0,B,A,A
129402,2014,8,1240,75,1152,79,H,0,B,A,B
129403,2014,8,1153,68,1301,57,H,0,A,B,A
129404,2014,8,1154,82,1342,68,H,0,A,B,A
129405,2014,8,1158,83,1150,82,H,0,A,B,A
129406,2014,8,1229,70,1180,78,A,0,B,A,A
129407,2014,8,1422,84,1187,85,A,0,B,A,A
129408,2014,8,1237,78,1191,84,A,0,B,A,A
129409,2014,8,1216,51,1195,65,H,0,B,A,B
129410,2014,8,1202,75,1205,64,H,0,A,B,A
129411,2014,8,1263,81,1203,108,H,0,B,A,B
129412,2014,8,1206,68,1249,54,A,0,A,B,B
129413,2014,8,1214,64,1389,59,A,0,A,B,B
129414,2014,8,1254,72,1231,73,H,0,B,A,B
129415,2014,8,1235,80,1394,50,H,0,A,B,A
129416,2014,8,1181,83,1242,94,N,0,B,A,N
129417,2014,8,1247,73,1346,67,H,0,A,B,A
129418,2014,8,1250,92,1351,78,H,0,A,B,A
129419,2014,8,1395,79,1255,82,A,0,B,A,A
129420,2014,8,1257,97,1220,69,H,0,A,B,A
129421,2014,8,1264,71,1162,70,A,0,A,B,B
129422,2014,8,1212,71,1266,114,H,0,B,A,B
129423,2014,8,1261,90,1269,92,H,0,B,A,B
129424,2014,8,1354,59,1276,93,H,0,B,A,B
129425,2014,8,1277,78,1246,74,N,0,A,B,N
129426,2014,8,1285,58,1278,84,H,0,B,A,B
129427,2014,8,1356,59,1281,72,H,0,B,A,B
129428,2014,8,1190,63,1287,71,A,0,B,A,A
129429,2014,8,1304,62,1442,47,H,0,A,B,A
129430,2014,8,1142,58,1305,60,A,0,B,A,A
129431,2014,8,1325,69,1326,79,H,0,B,A,B
129432,2014,8,1329,93,1430,40,H,0,A,B,A
129433,2014,8,1334,84,1414,79,H,0,A,B,A
129434,2014,8,1284,73,1335,79,A,0,B,A,A
129435,2014,8,1338,75,1201,54,H,0,A,B,A
