,season,daynum,teamA,scoreA,teamB,scoreB,wloc,numot,winner,loser,location
129204,2014,4,1119,68,1102,79,N,0,B,A,N
129205,2014,4,1103,72,1157,63,H,0,A,B,A
129206,2014,4,1107,74,1373,62,A,0,A,B,B
129207,2014,4,1112,73,1142,62,H,0,A,B,A
129208,2014,4,1113,96,1420,61,H,0,A,B,A
129209,2014,4,1188,65,1116,99,H,0,B,A,B
129210,2014,4,1120,76,1311,54,H,0,A,B,A
129211,2014,4,1124,72,1160,60,N,0,A,B,N
129212,2014,4,1125,87,1252,83,A,0,A,B,B
129213,2014,4,1129,116,1426,87,H,0,A,B,A
129214,2014,4,1240,65,1133,72,H,0,B,A,B
129215,2014,4,1140,81,1451,72,H,0,A,B,A
129216,2014,4,1164,64,1143,83,H,0,B,A,B
129217,2014,4,1190,75,1150,80,H,0,B,A,B
129218,2014,4,1153,74,1300,61,H,0,A,B,A
129219,2014,4,1391,51,1155,71,H,0,B,A,B
129220,2014,4,1163,78,1268,77,N,0,A,B,N
129221,2014,4,1108,61,1166,107,H,0,B,A,B
129222,2014,4,1181,111,1172,77,H,0,A,B,A
129223,2014,4,1198,61,1184,83,N,0,B,A,N
129224,2014,4,1316,69,1196,77,H,0,B,A,B
129225,2014,4,1199,91,1239,67,H,0,A,B,A
129226,2014,4,1384,67,1200,87,H,0,B,A,B
129227,2014,4,1201,98,1414,97,A,1,A,B,B
129228,2014,4,1347,54,1203,76,H,0,B,A,B
129229,2014,4,1110,60,1206,63,H,0,B,A,B
129230,2014,4,1459,52,1208,72,H,0,B,A,B
129231,2014,4,1210,88,1342,57,H,0,A,B,A
129232,2014,4,1456,69,1214,77,H,0,B,A,B
129233,2014,4,1218,85,1398,55,H,0,A,B,A
129234,2014,4,1222,76,1402,70,H,0,A,B,A
129235,2014,4,1106,63,1228,80,H,0,B,A,B
129236,2014,4,1152,72,1231,100,H,0,B,A,B
129237,2014,4,1423,39,1234,82,H,0,B,A,B
129238,2014,4,1242,80,1419,63,H,0,A,B,A
129239,2014,4,1246,89,1421,57,H,0,A,B,A
129240,2014,4,1213,75,1258,78,N,0,B,A,N
129241,2014,4,1127,74,1259,79,A,0,B,A,A
129242,2014,4,1454,72,1260,76,H,0,B,A,B
129243,2014,4,1266,63,1380,56,H,0,A,B,A
129244,2014,4,1267,85,1354,69,H,0,A,B,A
129245,2014,4,1276,69,1262,42,H,0,A,B,A
129246,2014,4,1277,98,1270,56,H,0,A,B,A
129247,2014,4,1250,62,1278,81,H,0,B,A,B
129248,2014,4,1407,54,1279,69,H,0,B,A,B
129249,2014,4,1341,56,1280,71,H,0,B,A,B
129250,2014,4,1368,53,1281,89,H,0,B,A,B
129251,2014,4,1330,67,1283,79,A,1,B,A,A
129252,2014,4,1284,88,1220,84,A,0,A,B,B
129253,2014,4,1243,58,1294,60,A,0,B,A,A
129254,2014,4,1301,98,1111,77,H,0,A,B,A
129255,2014,4,1296,66,1303,68,A,0,B,A,A
