teamId,fgm,fga,fgm3,fga3,ftm,fta,or,dr,ast,to,stl,blk,pf
1101,20.33,50.14,6.67,17.86,15.81,21.19,8.00,20.33,10.00,15.00,5.76,1.48,21.57
1102,22.07,51.82,7.14,21.71,13.29,19.25,8.71,22.86,13.39,13.46,5.29,2.96,18.89
1103,23.55,54.52,7.09,20.39,13.73,22.21,12.30,22.67,11.15,13.21,6.61,4.21,17.82
1104,22.71,51.81,5.74,17.26,15.55,22.77,9.90,22.58,10.77,11.84,6.74,4.23,19.16
1105,21.54,53.11,6.11,18.89,14.64,22.07,9.82,23.82,12.54,13.25,6.04,4.07,21.96
1106,24.14,58.21,5.32,18.82,16.29,23.82,13.00,22.21,12.07,12.11,6.68,3.54,18.43
1107,22.44,51.09,4.91,13.47,16.25,21.72,10.34,24.22,11.06,12.63,5.53,3.06,17.25
1108,21.57,52.61,4.43,14.71,14.36,21.79,9.61,20.71,8.93,11.61,5.43,3.71,18.89
1110,23.03,46.56,6.34,16.59,11.53,16.25,7.13,22.94,15.13,13.97,6.03,3.44,17.22
1111,22.42,56.00,4.65,15.85,14.65,23.04,12.81,22.12,9.81,12.58,6.00,2.58,20.23
1112,26.24,56.00,5.29,14.85,15.29,23.35,12.59,26.29,15.09,10.44,5.88,4.24,16.44
1113,25.28,56.13,8.13,21.03,16.34,23.56,8.44,27.19,14.19,11.47,5.16,5.66,19.28
1114,23.93,57.27,4.83,15.53,17.63,23.77,11.37,25.03,11.20,13.40,5.77,3.80,21.90
1115,21.34,52.07,6.21,18.21,14.00,21.38,10.10,20.41,11.48,15.07,9.48,2.14,19.48
1116,27.22,61.31,7.53,20.53,18.28,25.22,11.72,23.88,15.38,11.69,8.63,5.59,20.91
1117,24.90,56.17,8.90,23.07,17.17,23.80,9.37,25.10,13.37,12.53,6.70,2.83,18.10
1119,25.90,58.03,7.53,22.30,13.20,18.90,11.27,22.00,14.10,13.00,5.93,4.23,18.30
1120,24.10,55.20,5.73,18.47,17.53,24.33,11.00,23.07,11.63,12.10,6.10,4.47,21.50
1122,26.11,54.43,5.04,15.04,18.11,26.86,9.86,22.61,14.18,15.54,6.82,5.29,17.50
1123,21.29,52.54,6.43,20.43,15.29,22.36,12.11,23.68,12.21,17.11,4.50,2.25,20.96
1124,25.00,55.79,7.39,19.24,16.39,24.36,14.18,24.06,14.52,11.79,5.09,5.67,17.55
1125,26.97,53.84,8.78,22.28,16.78,22.88,8.16,22.28,15.31,12.94,6.63,2.34,21.09
1126,20.87,53.07,6.80,19.00,12.90,18.10,11.10,19.23,9.40,12.40,6.03,2.43,21.27
1127,19.70,51.80,6.07,18.97,15.87,22.90,10.40,21.93,9.40,14.27,6.13,2.00,19.87
1129,25.84,57.09,7.50,20.59,15.84,20.94,10.81,22.91,11.63,9.88,5.56,2.03,19.47
1130,22.23,50.03,7.71,21.94,16.55,22.26,8.26,21.06,12.23,11.10,4.42,2.68,19.13
1131,25.62,56.59,7.97,22.09,12.26,17.06,9.65,23.79,13.91,11.88,7.09,1.82,16.97
1132,22.68,53.90,3.65,12.87,12.45,19.58,10.61,24.42,11.55,14.84,7.23,5.42,17.81
1133,22.53,53.75,4.81,14.97,13.75,19.63,11.13,22.13,9.56,11.97,7.06,2.63,19.84
1135,24.81,57.93,6.56,17.30,14.52,21.48,11.33,28.07,12.96,13.07,5.59,4.85,20.19
1136,26.16,55.84,6.26,18.87,14.61,20.74,9.68,24.45,13.00,12.32,6.32,2.87,17.65
1137,23.27,54.23,6.53,16.73,12.83,17.20,9.57,26.00,11.90,10.70,4.60,1.63,16.67
1138,24.96,56.25,6.54,19.39,16.82,23.50,12.29,24.89,15.07,12.61,6.71,4.68,18.50
1139,23.90,56.60,5.70,18.13,14.00,21.33,11.00,23.47,10.93,10.07,5.93,2.60,17.10
1140,29.27,62.52,5.18,13.88,20.48,29.76,13.30,27.79,15.64,11.48,7.12,3.03,19.58
1141,23.55,55.83,7.93,25.10,14.55,20.72,10.31,19.83,11.34,10.97,6.86,1.14,18.45
